-------------------------------------------------------------------------------------------------------

配号日期        证券代码        证券名称        起始配号                     配号数量        
20160608        300519          新光药业        起始配号:8768567             20              
20160613        002801          微光股份        起始配号:36277088            20              
20160615        300518          盛讯达          起始配号:8003881             18              
20160616        736909          合诚配号        起始配号:100002429344        10              
20160617        736958          哈森配号        起始配号:100006211305        21              
20160620        002802          洪汇新材        起始配号:80456095            20              
20160621        736016          宏泰配号        起始配号:100004100741        14              
20160622        791966          玲珑配号        起始配号:100013173232        24              
20160623        300522          世名科技        起始配号:10288494            20              
20160624        300521          爱司凯          起始配号:144082574           20              
20160627        002805          丰元股份        起始配号:42769038            19              
20160628        300520          科大国创        起始配号:77934850            18              
20160629        736069          海汽配号        起始配号:100027665822        22              
20160630        002803          吉宏股份        起始配号:71392974            20              
