-------------------------------------------------------------------------------------------------------

配号日期        证券代码        证券名称        起始配号                     配号数量        
20160405        736868          飞科配号        起始配号:100003622856        13              
20160406        002793          东音股份        起始配号:6398185             20              
20160408        300508          维宏股份        起始配号:17812065            11              
20160411        736726          朗迪配号        起始配号:100008445903        9               
20160415        736029          天鹅配号        起始配号:100009908142        8               
20160418        736822          嘉澳配号        起始配号:100040986614        18              
20160419        002795          永和智控        起始配号:62679246            20              
20160420        300507          苏奥传感        起始配号:13939028            21              
20160421        736528          多伦配号        起始配号:100017373378        19              
20160422        300511          雪榕生物        起始配号:8011390             21              
20160425        736101          汇嘉配号        起始配号:100024556227        24              
20160426        300510          金冠电气        起始配号:7447702             17              
20160427        002796          世嘉科技        起始配号:19097651            21              
20160429        002797          第一创业        起始配号:154003388           21              
