-------------------------------------------------------------------------------------------------------

配号日期        证券代码        证券名称        起始配号                     配号数量        
20160309        736861          白云配号        起始配号:100042763650        14              
20160311        300484          蓝海华腾        起始配号:8994328             19              
20160315        300506          名家汇          起始配号:50081191            19              
20160317        002792          通宇通讯        起始配号:35652526            19              
20160318        002791          坚朗五金        起始配号:138638388           19              
20160321        736028          赛福配号        起始配号:100003596371        22              
20160322        300474          景嘉微          起始配号:49957019            20              
20160323        736798          康普配号        起始配号:100003239751        10              
20160330        736701          德宏配号        起始配号:100013537739        19              
