-------------------------------------------------------------------------------------------------------

配号日期        证券代码        证券名称        起始配号                     配号数量        
20160801        300535          达威股份        起始配号:13987528            19              
20160802        736159          亚虹配号        起始配号:100011108428        10              
20160803        741936          广电配号        起始配号:100008847488        22              
20160803        002808          苏州恒久        起始配号:11228294            19              
20160804        791997          贵银配号        起始配号:100010912563        22              
20160805        791595          上影配号        起始配号:100011445018        22              
20160805        300532          今天国际        起始配号:11358788            16              
20160808        736986          兆易配号        起始配号:100003777079        10              
20160809        736515          欧普配号        起始配号:100020152194        17              
20160809        300533          冰川网络        起始配号:31302336            19              
20160810        736031          安德配号        起始配号:100005533013        20              
20160810        300540          深冷股份        起始配号:13319830            19              
20160811        002809          红墙股份        起始配号:31425819            19              
20160812        736007          花王配号        起始配号:100016505745        13              
20160812        300538          同益股份        起始配号:36743173            19              
20160816        736090          宏盛配号        起始配号:100008682776        10              
20160816        002810          山东赫达        起始配号:20223295            17              
20160817        300537          广信材料        起始配号:11597566            19              
20160819        736658          安图配号        起始配号:100017229294        12              
20160819        300539          横河模具        起始配号:31094828            18              
20160824        736843          正平配号        起始配号:100073205639        22              
20160824        002807          江阴银行        起始配号:238065031           19              
20160825        300543          朗科智能        起始配号:125786019           20              
20160830        791163          三角配号        起始配号:100020592945        22              
20160830        002811          亚泰国际        起始配号:33345348            20              
20160831        736393          新天配号        起始配号:100008165227        16              
20160831        002812          创新股份        起始配号:19696318            20              
