-------------------------------------------------------------------------------------------------------

配号日期        证券代码        证券名称        起始配号                     配号数量        
20160504        736779          威龙配号        起始配号:100019590348        20              
20160505        736959          百利配号        起始配号:100004463501        22              
20160506        736339          四方配号        起始配号:100004868031        19              
20160516        002798          帝王洁具        起始配号:5134165             17              
20160517        300512          中亚股份        起始配号:19732894            21              
20160518        300513          恒泰实达        起始配号:88661171            21              
20160519        002800          天顺股份        起始配号:127287130           21              
20160523        736737          三棵配号        起始配号:100007457102        10              
20160524        300516          久之洋          起始配号:10843671            21              
20160525        791611          核建配号        起始配号:100008680881        32              
20160526        736131          沪工配号        起始配号:100009844306        10              
20160527        002799          环球印务        起始配号:27875368            20              
20160530        300515          三德科技        起始配号:6380047             20              
20160531        791127          小康配号        起始配号:100004043966        31              
