-------------------------------------------------------------------------------------------------------

配号日期        证券代码        证券名称        起始配号                     配号数量        
20160301        736919          金徽配号        起始配号:100028078528        5               
20160302        002789          建艺集团        起始配号:24673978            2               
20160303        791020          华钰配号        起始配号:100015355517        5               
20160309        736861          白云配号        起始配号:100042692636        5               
20160317        002792          通宇通讯        起始配号:35292932            2               
20160318        002791          坚朗五金        起始配号:138187889           2               
20160321        736028          赛福配号        起始配号:100003348895        6               
20160323        736798          康普配号        起始配号:100003484729        7               
20160330        736701          德宏配号        起始配号:100013846787        8               
