-------------------------------------------------------------------------------------------------------

配号日期        证券代码        证券名称        起始配号                     配号数量        
20160802        736159          亚虹配号        起始配号:100011251547        10              
20160803        741936          广电配号        起始配号:100007398325        14              
20160803        002808          苏州恒久        起始配号:9918336             5               
20160804        791997          贵银配号        起始配号:100010163651        14              
20160805        791595          上影配号        起始配号:100011897987        14              
20160808        736986          兆易配号        起始配号:100004070140        10              
20160809        736515          欧普配号        起始配号:100021057643        14              
20160810        736031          安德配号        起始配号:100005130460        14              
20160811        002809          红墙股份        起始配号:32250965            5               
20160812        736007          花王配号        起始配号:100024553080        13              
20160816        736090          宏盛配号        起始配号:100008417464        10              
20160816        002810          山东赫达        起始配号:19649467            5               
20160819        736658          安图配号        起始配号:100008791888        12              
20160824        736843          正平配号        起始配号:100073409692        14              
20160824        002807          江阴银行        起始配号:238703843           5               
20160830        791163          三角配号        起始配号:100020067345        15              
20160830        002811          亚泰国际        起始配号:32545117            5               
20160831        736393          新天配号        起始配号:100007865767        15              
20160831        002812          创新股份        起始配号:19041520            5               
