-------------------------------------------------------------------------------------------------------

配号日期        证券代码        证券名称        起始配号                     配号数量        
20160613        002801          微光股份        起始配号:36746557            4               
20160616        736909          合诚配号        起始配号:100002661910        10              
20160617        736958          哈森配号        起始配号:100006678893        12              
20160620        002802          洪汇新材        起始配号:80737175            4               
20160621        736016          宏泰配号        起始配号:100003750346        12              
20160622        791966          玲珑配号        起始配号:100012475197        12              
20160627        002805          丰元股份        起始配号:43220720            4               
20160629        736069          海汽配号        起始配号:100027940888        12              
20160630        002803          吉宏股份        起始配号:72039418            4               
