-------------------------------------------------------------------------------------------------------

配号日期        证券代码        证券名称        起始配号                     配号数量        
20160405        736868          飞科配号        起始配号:100003439380        9               
20160406        002793          东音股份        起始配号:6662179             3               
20160411        736726          朗迪配号        起始配号:100008714831        9               
20160415        736029          天鹅配号        起始配号:100009728188        8               
20160418        736822          嘉澳配号        起始配号:100041150735        10              
20160419        002795          永和智控        起始配号:62380424            4               
20160421        736528          多伦配号        起始配号:100017805843        10              
20160425        736101          汇嘉配号        起始配号:100024233009        10              
20160427        002796          世嘉科技        起始配号:53766949            4               
20160429        002797          第一创业        起始配号:153307086           4               
